id,fruchtgroesse_mm,ethioningehalt,bewertung_geruch,wachstums_bedingungen,stacheldichte,fruchtfarbe
43,31.7359811952041,14,7.8,Halbschatten,19.2117160983686,graugrün
44,28.1187156606399,14,8.1,Halbschatten,14.1098953064303,dunkelgrün
45,29.9368544616927,14,6.8,Halbschatten,16.5357946174891,dunkelgrün
46,26.7700769377996,15,8.5,Halbschatten,11.3028850546485,dunkelgrün
47,28.2382629814614,12,4.2,Halbschatten,10.0103651266524,dunkelgrün
48,28.4652960637531,16,7.7,Halbschatten,9.72385839290178,dunkelgrün
49,29.1109677733556,17,3.5,Schatten,8.85279829875645,hellgrün
50,30.3342133845739,17,0.6,Schatten,8.45107226606796,hellgrün
51,46.9563665087508,18,5.6,Schatten,4.79757919146111,hellgrün
52,49.509515178842,11,7.7,Schatten,15.1094946127598,hellgrün
53,47.0562038273936,19,5.1,Schatten,9.91831928530852,hellgrün
54,44.3014151585927,16,4.5,Schatten,7.01819840881925,hellgrün
55,48.6501788819035,13,7.3,Schatten,10.5781770752579,hellgrün
56,49.1316596623402,20,4.8,Schatten,5.94743544644686,hellgrün
57,49.248782699443,21,0.2,Schatten,2.64335022929058,hellgrün
58,49.741907059522,15,2.7,Schatten,11.9251810895684,hellgrün
59,48.3784917681301,18,0.2,Schatten,-0.486642950499281,hellgrün
60,45.3630276352849,9,10.2,Schatten,14.3279176087917,hellgrün
61,49.5303668644823,15,6.2,Schatten,10.9215816799295,hellgrün
62,49.4626819507655,11,8.4,Schatten,12.0501422882175,hellgrün
63,48.680157905279,10,3.5,Schatten,10.1386533823542,hellgrün
64,50.3501239058924,21,2.7,Schatten,10.2762119563973,hellgrün
65,44.5194846803563,19,1.2,Schatten,7.74661813928856,hellgrün
66,48.6579800441149,17,7.5,Schatten,9.07618717082288,hellgrün
67,46.3958153006438,7,9,Schatten,17.3317725783594,hellgrün
68,46.7657751492106,11,6.9,Schatten,10.804269011624,hellgrün
69,48.7916672106484,18,2.6,Schatten,12.3567216397412,hellgrün
70,46.1862711076614,15,4.6,Schatten,2.94703452392349,hellgrün
71,44.740201269184,16,3.1,Schatten,9.5051805199485,hellgrün
72,49.8838330276033,16,7,Schatten,18.0724656032851,hellgrün
73,48.1787381709637,15,6.4,Schatten,7.81961686586152,hellgrün
74,52.8788247390701,17,4.1,Schatten,8.04871760172546,hellgrün
75,50.5735537314822,15,5.5,Schatten,14.0685344166071,hellgrün
76,35.4869499874609,19,4,Schatten,13.7342004994743,hellgrün
77,33.6217469246816,20,6.1,Schatten,9.1873894609527,hellgrün
78,34.2470288362718,8,7.9,Schatten,11.1522925267007,hellgrün
79,35.8900191085879,10,8.7,künstliches Licht,5.70303298326567,hellgrün
80,31.2604133409614,9,9,künstliches Licht,13.55924691318,hellgrün
81,35.8502396906735,12,7.5,künstliches Licht,9.14837600279498,hellgrün
82,32.8909761216945,14,6.1,künstliches Licht,12.7643955837309,hellgrün
83,32.2276233502926,20,1.6,künstliches Licht,7.96414507482581,hellgrün
84,37.0706684075058,16,3.9,künstliches Licht,6.77387356177826,hellgrün
85,37.986972550846,7,7,künstliches Licht,12.0595879959649,hellgrün
86,34.6750441871937,15,8.2,künstliches Licht,14.9957407924304,hellgrün
87,33.7502540577445,21,3.4,künstliches Licht,6.26441827078888,hellgrün
88,35.0808338309846,14,9.3,künstliches Licht,17.2495117659163,hellgrün
89,40.7550668214286,21,0.8,künstliches Licht,5.01399176402951,graugrün
90,34.6404005032863,15,4.2,künstliches Licht,9.08713115759448,graugrün
91,35.8588649494911,14,8.4,künstliches Licht,14.8438615439487,graugrün
92,35.3692179241666,24,0.6,künstliches Licht,3.44959844256717,graugrün
93,34.0639119969628,17,6.8,künstliches Licht,14.6066564711487,graugrün
94,34.6055714803112,16,7.5,künstliches Licht,13.6979363585313,graugrün
95,34.8353443337946,6,8.8,künstliches Licht,14.9283406991983,graugrün
96,38.797741683663,27,0.1,künstliches Licht,5.48963001584776,graugrün
97,33.3155128817445,16,2.9,künstliches Licht,11.9911869697187,graugrün
98,34.5626282143271,21,3.4,künstliches Licht,14.2166919387479,graugrün
99,34.7132721392703,16,5.4,künstliches Licht,16.5419337076211,graugrün
100,33.6179113058101,15,5,künstliches Licht,9.28384439464855,graugrün
